BHP,ULEZ,body,engine,fuel,mileage,owners,price,transmission,year,make,model,missing_BHP,sport,se,amg,tfsi,nav,tsi,tdi,premium,dci,m sport,sportback,edition,tech,crdi,tronic,cod,s line,bluetooth,leather,performance,2dr,3dr,4dr,5dr,dsg,speed,gti,gtd,gte,year_reg,age
136.0,ULEZ,Coupe,1.5,Petrol,23659,2.0,16450,Manual,2018,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18 reg,2
150.0,ULEZ,Coupe,2.0,Diesel,26269,2.0,17000,Automatic,2018,BMW,2-Series,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67 reg,2
340.0,ULEZ,Coupe,3.0,Petrol,9699,2.0,23700,Automatic,2018,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67 reg,2
335.0,ULEZ,Convertible,3.0,Petrol,17037,2.0,22050,Automatic,2018,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18 reg,2
150.0,ULEZ,Coupe,2.0,Diesel,14756,2.0,17825,Manual,2018,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68 reg,2
340.0,ULEZ,Coupe,3.0,Petrol,6767,2.0,23525,Automatic,2018,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67 reg,2
335.0,ULEZ,Coupe,3.0,Petrol,8664,2.0,24991,Automatic,2019,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19 reg,1
192.0,ULEZ,Coupe,2.0,Petrol,9321,2.0,24500,Automatic,2019,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69 reg,1
150.0,ULEZ,Coupe,2.0,Diesel,19011,2.0,20800,Automatic,2019,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69 reg,1
335.0,ULEZ,Coupe,3.0,Petrol,14018,2.0,25200,Automatic,2019,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19 reg,1
335.0,ULEZ,Coupe,3.0,Petrol,7661,2.0,25950,Automatic,2019,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68 reg,1
